#   ******************************************************************************
#   * Copyright  2017  Department of Biomedical Informatics, University of Utah
#   * <p>
#   * Licensed under the Apache License, Version 2.0 (the "License");
#   * you may not use this file except in compliance with the License.
#   * You may obtain a copy of the License at
#   * <p>
#   * http://www.apache.org/licenses/LICENSE-2.0
#   * <p>
#   * Unless required by applicable law or agreed to in writing, software
#   * distributed under the License is distributed on an "AS IS" BASIS,
#   * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#   * See the License for the specific language governing permissions and
#   * limitations under the License.
#   ******************************************************************************
#   Special thanks to Olga Patterson and Guy Divita for contributing rules as part of this rule set


#Define which features will be assigned values in an annotation type ("Concept" in this case)
@CONCEPT_FEATURES|Concept|Negation|Certainty|Temporality|Experiencer
#Define the values that a feature can have, the 1st value is the default value
#The following definitions will be used as an index for FastContext to find the corresponding Feature to assign the modifier
#value, once a modifier value is available.
#In this case the "Negation" feature has two values: "affirm" and "negated", "affirm" is the default value.
@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
@FEATURE_VALUES|Temporality|present|historical|hypothetical
@FEATURE_VALUES|Experiencer|patient|nonpatient



#rule string|direction|trigger type|modifier|window size
\> 0 -mois de|forward|trigger|historical|30
\> 0 -années de|forward|trigger|historical|30
\> 0 -année de|forward|trigger|historical|30
\> 0 -an de|forward|trigger|historical|30
il y a \> 0 mois|backward|trigger|historical|30
\> 0 mois de|forward|trigger|historical|30

il y a \> 0 ans|backward|trigger|historical|30
il y a \> 0 années|backward|trigger|historical|30

\> 0 an de|forward|trigger|historical|30
\> 0 ans de|forward|trigger|historical|30
\> 0 années de|forward|trigger|historical|30

\> 1 -semaine de|forward|trigger|historical|30
\> 1 -semaines de|forward|trigger|historical|30
il y a \> 1 semaine|backward|trigger|historical|30
il y a \> 1 semaines|backward|trigger|historical|30

\> 13 -jour of|forward|trigger|historical|30
\> 13 -jours of|forward|trigger|historical|30
\> 13 jour de|forward|trigger|historical|30
\> 13 jours de|forward|trigger|historical|30

\> 13 - jour de|forward|trigger|historical|30
\> 13 - jours de|forward|trigger|historical|30
\> 0 - mois de|forward|trigger|historical|30
\> 0 - ans de|forward|trigger|historical|30
\> 0 - an de|forward|trigger|historical|30
\> 0 - années de|forward|trigger|historical|30
\> 0 - année de|forward|trigger|historical|30
\> 1 -semaine de|forward|trigger|historical|30
